,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
48.33984375,1.0,0.00011312402664863676,3.1927997393526433e-06,3.830384027090895e-07,4.5990745028557365e-08,4.451744303668417e-05,5.472810037912726e-05,6.298312808880386e-05,7.046927941491709e-05,7.827860432716036e-05,8.668726255462209e-05,9.710962838698127e-05,0.0001101374010356512,0.00013252165398404829
48.828125,1.0,8.343671259896437e-05,2.9976333988138256e-06,3.486194644852038e-07,4.0564824333185654e-08,2.7921584987921913e-05,3.559394183488724e-05,4.1992521123060605e-05,4.784430650878864e-05,5.330244305434015e-05,5.8882688664516394e-05,6.523858248805451e-05,7.440280877734262e-05,9.046455129267498e-05
49.31640625,1.0,4.283669379507351e-05,2.8158291156069034e-06,3.174859090080923e-07,3.58079789604146e-08,8.493838177301735e-06,1.0619305620642567e-05,1.2412285813138126e-05,1.4140630352835401e-05,1.5940680818857707e-05,1.806499970799298e-05,2.0308017340890882e-05,2.3309955674962377e-05,2.865579963645196e-05
49.8046875,1.0,4.315604701926956e-05,2.5389876572466414e-06,2.7185370728365576e-07,2.9115739619240566e-08,1.0097225634581738e-05,1.2159865173654032e-05,1.3967440437099564e-05,1.546040244768509e-05,1.7182496739704656e-05,1.905844623455513e-05,2.1240292613249366e-05,2.4216872832142594e-05,2.965107955732444e-05
50.29296875,1.0,4.1613031975556645e-05,2.3799833972800777e-06,2.467201785029695e-07,2.5583131303291906e-08,9.804973866955773e-06,1.1725531378585485e-05,1.3366086288222543e-05,1.5097117069254665e-05,1.6785483372366306e-05,1.8601145258946944e-05,2.0787040733709336e-05,2.371841297208621e-05,2.8709829751784953e-05
50.78125,1.0,3.702059017749628e-05,2.2473832860838347e-06,2.2639323166692857e-07,2.2812105489984184e-08,7.169825819295681e-06,8.969053105736199e-06,1.0440394957165214e-05,1.1672573320790637e-05,1.3058742003242885e-05,1.4692060796026654e-05,1.6601960585420545e-05,1.921066691035936e-05,2.3127723616909855e-05
51.26953125,1.0,3.6185909704212994e-05,2.007760553231225e-06,1.9115471546394363e-07,1.820513892204071e-08,7.332020960480762e-06,9.132561599485823e-06,1.0592037453699885e-05,1.2016227548791323e-05,1.3475118016303861e-05,1.4992840340859157e-05,1.667883726317819e-05,1.9037214441163503e-05,2.3081521009524682e-05
51.7578125,1.0,3.186645531063188e-05,1.7877544510140539e-06,1.6061243292425193e-07,1.4433984865023059e-08,5.475471429450014e-06,6.940601132919476e-06,8.064501761692086e-06,9.12001974420128e-06,1.0282271583957194e-05,1.1425907108182658e-05,1.2851115227470577e-05,1.480029718703531e-05,1.8227677445532258e-05
52.24609375,1.0,2.8500221750123267e-05,1.6516086108623305e-06,1.4262715025539212e-07,1.2320179612880932e-08,4.094051561888678e-06,5.214558082543835e-06,6.0964896800654035e-06,6.974519831506028e-06,7.878532711283647e-06,8.970495372257753e-06,1.025108525593891e-05,1.1990513997571317e-05,1.515101198403414e-05
52.734375,1.0,2.7885539831682033e-05,1.5164709008839775e-06,1.2548935609969865e-07,1.0386996894640478e-08,3.524507406941735e-06,4.671401089003069e-06,5.642610457900783e-06,6.741745104773744e-06,7.839090485649002e-06,9.226644631630893e-06,1.0950305729261533e-05,1.3519999901302382e-05,1.7625927890607728e-05
53.22265625,1.0,2.5827299903071e-05,1.4417716047610924e-06,1.1633406003172019e-07,9.389086239758474e-09,2.9817527500262363e-06,3.856313143062293e-06,4.641529405480445e-06,5.5610794766050345e-06,6.478464019924955e-06,7.745256276590272e-06,9.249556924821602e-06,1.1262414102134276e-05,1.4198599573055979e-05
53.7109375,1.0,2.3875220374511145e-05,1.4174975310347286e-06,1.1340990021193532e-07,9.075741193612912e-09,2.6504379703220986e-06,3.4015483072012093e-06,3.977399352458021e-06,4.5699640860751715e-06,5.180156153196556e-06,5.9290942927566365e-06,6.769644740872111e-06,7.912063315733749e-06,1.0090618607094553e-05
54.19921875,1.0,2.3368567572760743e-05,1.3280521882297018e-06,1.0284645009925955e-07,7.966481529034234e-09,2.6551349413226804e-06,3.3524668638994175e-06,4.010427619259083e-06,4.580627897110471e-06,5.1776474013019356e-06,5.8112988222587795e-06,6.702935256686589e-06,8.118722097044798e-06,1.0651250590391587e-05
54.6875,1.0,2.3236288999132384e-05,1.219011662300042e-06,9.044267050429195e-08,6.711897497197719e-09,2.7960643287420373e-06,3.572839814772615e-06,4.238553317579528e-06,4.8744314907571805e-06,5.5449843872356205e-06,6.36913645196088e-06,7.458761804729429e-06,8.941990156457998e-06,1.1884694025092314e-05
55.17578125,1.0,2.284167046522797e-05,1.1202403632025204e-06,7.967463773603828e-08,5.668144716220937e-09,3.05245677414406e-06,3.857093332291063e-06,4.524653219582923e-06,5.196576101609689e-06,5.889973742254748e-06,6.7628376003893055e-06,7.781621696199621e-06,9.172655972446204e-06,1.1707061311201204e-05
55.6640625,1.0,2.1940060341640637e-05,1.0224022445415306e-06,6.946909022457381e-08,4.72138729371202e-09,3.01457521171676e-06,3.7902014395480214e-06,4.468564800438695e-06,5.125507339202398e-06,5.800060886595166e-06,6.5333963520023805e-06,7.392735044405527e-06,8.734006377989635e-06,1.1209993202818568e-05
56.15234375,1.0,2.575875033688908e-05,9.407994677701833e-07,6.131814667614993e-08,3.9976016011775355e-09,4.628990761460498e-06,6.286938459675562e-06,7.6083940343135445e-06,8.841159204554727e-06,1.0158800817498072e-05,1.15294095514795e-05,1.309645894991162e-05,1.5258391228346247e-05,1.870171689326436e-05
56.640625,1.0,7.005539015351863e-05,8.682476154023952e-07,5.4270144187106403e-08,3.397002219407012e-09,1.4356203484788211e-05,2.0141344027841838e-05,2.7371891232097277e-05,5.189682110118876e-05,6.331315337976159e-05,6.993059127430938e-05,7.592424472846356e-05,8.249315810932373e-05,9.32406919562444e-05
57.12890625,1.0,6.27131000280212e-05,8.271894725480674e-07,5.048492800924879e-08,3.0848208505566772e-09,1.4713433947480962e-05,2.1016265695031836e-05,2.743388801264349e-05,4.339284980998555e-05,5.307289631709694e-05,5.869959132886319e-05,6.364659470803438e-05,7.002749447251775e-05,7.962711485452452e-05
