,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
0.48828125,1.0,1299173.1163940348,23851189511693.4,8.029556160352274e+21,3.6760990694842573e+30,607283.0170288369,739940.1534549381,850205.1137513706,954465.4165799603,1057463.1118426765,1171576.230957848,1302215.5519298778,1478844.245627263,1786415.0918318126
0.9765625,1.0,63053.28523378173,28799413783.159832,2.2079543984776653e+17,2.3174065389614985e+24,26323.994544032652,32530.210297130758,37923.675760559454,43454.19344931782,48925.901464046154,54940.746399923715,62760.864365752816,73094.85097832803,92367.49455154067
1.46484375,1.0,6674.08989385556,205792307.87130207,119932041093056.5,9.611241360357289e+19,2777.422723614915,3435.3459928545635,4000.730000821659,4563.996762814823,5185.354901390825,5919.825926911963,6799.408004922967,8018.387610591943,10325.086993551906
1.953125,1.0,2231.4186714662924,11958555.787677594,1657111768846.7708,3.068235088078791e+17,850.5784235716694,1119.6627973593077,1368.5839669184024,1612.946391005688,1870.573485918444,2147.6718201715366,2476.295943499009,2901.0561820451358,3632.8136658262615
2.44140625,1.0,574.2861429864062,1759028.7199131844,128417882212.27266,1.1425880896827538e+16,230.4810041464126,292.7267958315996,344.004562891946,393.2994964935869,448.4232192934816,510.0132479839432,585.6958301776427,694.3242643600888,925.244770597756
2.9296875,1.0,230.9248255117781,262402.68218433514,7253382469.846711,251924786642025.8,92.46124536082277,114.4196793470099,133.58914961248985,151.9457856008808,172.3577020184124,196.61142045238535,228.15851684611917,275.4512552943053,381.478070058789
3.41796875,1.0,757.1158411885784,61071.733763535354,574073774.410315,8479259716265.671,602.7283283030127,647.5134794455012,680.2917758728579,709.5621315476183,738.1836739388909,768.117535079902,801.037051307896,842.696733174271,908.8523550282957
3.90625,1.0,553.3866776113313,20348.62870216072,76534293.91828018,555608277323.4196,445.03559368192,476.31657760334116,500.0054179846625,521.0700602434246,540.3552945933347,561.2921501493892,584.8200266403192,615.7450939687428,664.0104405834489
4.39453125,1.0,60.052647901249834,8614.21684137772,23042287.26265101,110902433458.48618,26.91934567533703,31.905198072237173,36.33789723123643,40.400201791619246,45.01638721295444,50.171458360838805,57.09844142757057,68.0339622106449,90.86648066896038
4.8828125,1.0,25.92616650188918,5361.774258391687,10404426.347476177,38759722238.32628,6.7646983050980385,8.505946246853773,10.142338319167393,11.828504069853608,13.755530288606598,16.237595556381446,19.774430082523132,26.61973500111422,41.64077520115333
5.37109375,1.0,14.445528260934143,1567.1415487539846,5107686.433462477,22924590871.829197,4.420468476880504,5.631368892742461,6.729332428277471,7.8887563829226295,9.160000429757199,10.800444703889,13.060759429545822,17.293054306025986,26.647776744064902
5.859375,1.0,10.014425183675915,1184.9830276813886,4585096.952118183,21243766577.164154,3.133182080699472,3.9694091109126255,4.747209289439385,5.53747884450476,6.461340040043912,7.633081291071539,9.330204349585864,12.32432499404816,19.315167930135534
6.34765625,1.0,7.136951073546997,854.9940916540303,2968608.9440802983,11958091639.461786,2.2068609932605785,2.8362281186697893,3.3988711204860773,3.976340760824424,4.642245084486737,5.483960454229657,6.6799845986891055,8.804828170290751,13.615884134226812
6.8359375,1.0,5.972004131898726,490.2958658926996,1328199.0754345434,4111804502.332105,2.411711010055966,2.930399236514035,3.3853402961084957,3.836387989745042,4.334678228032933,4.935126076428771,5.7695550500862565,7.204254665570181,10.348475462385608
7.32421875,1.0,9.065225687125128,197.38988389012695,321807.4622735117,624408584.3349677,5.52035990280923,6.2611689899752925,6.859765617996209,7.395609190850462,7.976144048200251,8.63169706015044,9.423690179815102,10.566942306482888,12.98634314801367
7.8125,1.0,6.29949300739114,130.32832087461182,59916.58162133902,57883659.25609381,2.390317248066568,2.787316956546932,3.141010798982047,3.489486764625631,3.8717559927653897,4.368385174933715,5.174329610211736,6.998824958644368,11.548005540419924
8.30078125,1.0,3.4245302217371894,66.86892776130439,23473.42898227876,16824841.754251886,0.7199375471610898,0.922328558468293,1.120195331873521,1.3283370538179886,1.58136262736575,1.9076323015991952,2.4783769435915803,3.9400498141488214,7.315732242479137
