,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
0.48828125,1.0,19158300.25443449,4.975640689867108e+16,2.2924908524603e+26,1.162504817565203e+36,976032.1479790722,1264497.7154720186,1539048.1215410614,1878061.0028551295,2355791.9705867926,3139654.8596403585,4164754.643462453,5682784.583811747,8989771.527969679
0.9765625,1.0,207788.8941435165,3818333781503.7397,1.3101123218807672e+20,4.937895339283865e+27,24613.220838766923,31006.43564061188,36861.08782050659,43199.78725327078,47908.06770749294,53887.134853657204,62846.85645411926,72997.62690659089,96944.13619675608
1.46484375,1.0,19244.887356853957,17621280704.96183,3.160508497891367e+16,6.290900965475717e+22,2454.338407674136,3139.396855580888,3762.6285156946037,4321.674150361669,5021.463978432946,6031.69025391698,7236.779463571451,8952.25262418236,12109.097824304736
1.953125,1.0,4563.040772337149,673348067.8497286,198389848500391.3,6.490486074571022e+19,631.7866750929635,831.8117260416533,1029.084186342605,1211.511419781648,1483.4527085645823,1731.441951514619,2030.8802147323256,2569.2185922763388,3603.2626879060767
2.44140625,1.0,1333.9978133688328,33303775.86654489,1795638843898.933,1.0324607180059411e+17,216.66273314276395,298.99335237010604,373.48706412630895,448.0989076281105,540.166956550282,645.6346449549175,791.4565826828397,956.3957956755723,1366.0824987870212
2.9296875,1.0,519.8132461348922,4157277.4906900693,88044914587.2758,2075609727860230.5,88.09753075631818,126.97891812006378,158.19743715258193,194.57136085881757,241.30506653466043,283.27755798764616,349.6208624159904,448.2993739034001,616.6347835452827
3.41796875,1.0,265.73329930719314,942823.160567238,11312026473.162626,148737229854682.44,59.769760144810206,80.99453584127104,98.02607540920984,117.93843295010957,142.5434087376252,163.2944580154819,203.85046347564762,254.6051494505053,341.0287623117503
3.90625,1.0,152.76726422103556,318407.8226838428,2336007367.941299,18466292597320.44,37.06009805390787,48.92527733542978,58.35908642936398,69.84864188383072,81.29878247468972,98.45706457256252,120.70017031517861,145.61876731679416,208.2179416320098
4.39453125,1.0,82.77752256271208,127133.56062435033,608790351.7349536,3116541023906.525,14.567691962227004,19.853866780644516,26.377840016624695,32.10752903799488,40.19064240524784,49.45637099201201,62.496729366479045,81.33284847489008,109.23113161530158
4.8828125,1.0,54.87609063300514,55771.02723862695,171329070.0281527,567299113427.2715,8.777561032283035,13.635261674598103,17.26813802605903,20.883275516643934,27.444301395300336,33.5846750276761,42.308634980758896,54.068001512305095,74.77874880752147
5.37109375,1.0,38.25254886961308,23923.393455591133,48798944.914787576,108116660553.32364,6.671701413849385,9.947863808679697,12.559280683448486,15.32481293763557,19.26289229167488,23.813919250709667,29.852302325676632,38.24252626779897,52.90672563813908
5.859375,1.0,30.852491679275712,14754.829339104737,19741258.5854423,29677529580.15978,4.959129186674625,7.071094326668966,8.749825908563464,10.822627997840911,13.564478764273458,16.49955683322042,21.202809799665395,26.83969492232134,38.58402329583169
6.34765625,1.0,24.713766539225848,16580.21872636679,29914840.5561009,63298706359.3842,3.375229966388283,4.90663010304351,6.222681602630191,7.948653833471328,9.966694289424609,12.284129432371259,14.90448362545898,19.926846225868488,27.6769629064587
6.8359375,1.0,16.170502820893446,5511.564027516639,4789508.163550174,4424363404.956521,2.4967867318756505,3.5300182258176673,4.651718669780681,5.931144218814281,7.291808655400386,8.894221638402884,11.160626970533997,14.732403579976545,20.187249304588573
7.32421875,1.0,11.202424608234377,2264.0970239783924,1390737.3150846076,914805160.6142253,1.963478803314534,2.8606702884430244,3.6650988066773182,4.6909384509123155,5.58192299631502,7.144152571104213,8.378604934072763,10.991409062441154,14.611005452391614
7.8125,1.0,8.522599323369237,1324.6882862006546,603793.2352610991,294250695.65528315,1.475965958118439,2.1098230428910503,2.730670671821592,3.4898222778929044,4.227748880584882,5.177963699300723,6.53468145841871,8.32830601132546,11.489737141342513
8.30078125,1.0,6.727315775928994,807.0323490175005,294080.8782266699,115207500.1378586,1.2335560447308365,1.6223310402582007,2.108165378877576,2.743827628112417,3.3485695313199537,4.1351354464304615,5.097799636599947,6.50145287808754,9.26264983272025
8.7890625,1.0,5.421540632577715,510.8436066908953,145373.15310860457,44522642.2031103,0.963204311140143,1.3805486547004675,1.7747036280532362,2.1650051676343627,2.6875598143038264,3.3008457860070983,4.107509578559535,5.283911253251456,7.1469200834381095
9.27734375,1.0,4.596987050604589,368.37290361434833,83415.6400834396,20164292.008761298,0.90137140022509,1.2067913075314427,1.5248264307528814,1.9043336345144166,2.24409083603041,2.7519404215441203,3.3525325860937176,4.33010524334663,5.859706850231513
9.765625,1.0,4.157930740530049,326.4507544884033,70858.00568623736,16390590.534636043,0.8128903863387451,1.1419685361020098,1.4400631834789372,1.7319766381285242,2.0364651575478776,2.46124705283646,3.007974643069433,3.7369808670235933,5.266298732975845
10.25390625,1.0,3.799868591902554,198.1397419951488,30863.85294085516,5142812.335017793,0.8412847886553768,1.0751199379616903,1.3684840884459288,1.6233558460035726,1.903892415547753,2.2805019586590234,2.825908275907734,3.588353552921496,4.848192184853735
10.7421875,1.0,3.8761942518642365,243.29419717824294,44868.84916617576,9544566.567575816,0.832494798140383,1.0934016451462851,1.3147942530216608,1.5256266725848162,1.7969348376726357,2.080070710184882,2.5966253558214074,3.317706267049597,4.695686590642205
11.23046875,1.0,4.714005678446574,1962.3521750487928,2097465.4322637995,2346161683.9671407,0.789268782949314,1.0671675734778916,1.287449089246851,1.5105284695028471,1.7414684789254578,2.0256314004492038,2.3434619726958803,2.8871881623700255,3.9347494223809223
11.71875,1.0,5.413630732195206,3467.564994168166,5123215.715051851,7750101504.843981,0.8111386407236268,1.1732955947568955,1.4734335875970095,1.733035476366323,2.016558462674886,2.3269631060023057,2.7710653649513466,3.375198543264588,4.2756574998927945
