,unimodal,moment_1,moment_2,moment_3,moment_4,q10,q20,q30,q40,q50,q60,q70,q80,q90
0.48828125,0.0,20655682.243977766,8.672318383572779e+16,4.864418946643922e+26,2.917876375609521e+36,740823.4341113206,924784.6225418478,1075566.3638531638,1215555.244033803,1377552.450575575,1557913.054095796,1744050.8782157195,2007438.0492058084,2702267.0889656576
0.9765625,0.0,932378.3241100068,212916567687936.3,7.309753283818009e+22,2.79976555470925e+31,30689.8956908046,36630.04947348974,43432.788266768766,49492.4522182968,55514.45719871407,63257.19341400463,74938.9346792292,91653.31121235558,132584.64311584228
1.46484375,1.0,102120.71066213043,2878539852247.9707,1.384567938113646e+20,7.179488984149423e+27,3972.9742346168805,4944.983401133306,5850.250649284758,6781.606547370262,7729.374978505806,8989.252772287817,11139.319760237042,14123.198984764476,21168.6730652515
1.953125,1.0,24580.44127890855,106751988199.30394,8.104007116345654e+17,7.014791962850669e+24,1042.4421736749418,1344.9585188441204,1600.0356253614889,1844.7470869162485,2117.6213450911673,2554.9691790105253,3086.0497928571067,3990.8810104966633,5903.187764439137
2.44140625,1.0,7207.007248331109,7722078436.887076,1.5004391815810502e+16,3.355458099886405e+22,386.9950962798047,509.2954353105859,604.6224776199779,723.7615368707586,845.0815173118766,985.451154649829,1183.154910831644,1516.9698159838854,2244.9970769185225
2.9296875,1.0,3776.6784691130288,2076269794.2890432,1858366143951714.5,1.835476964114526e+21,194.16447262734377,240.7612339273909,289.58204860295024,340.0096078519073,403.81583087097766,476.71971240157814,571.1363113365734,733.0876117710695,1074.2203785228814
3.41796875,0.0,2345.403401318252,1114448928.2270565,947722017724220.8,8.880183598542456e+20,174.5656219113466,210.63153608339522,241.70174816332337,270.9626198562108,307.4351984127476,358.89047701150656,417.29262847432847,504.26722446700234,701.913972336434
3.90625,1.0,1157.3356626353925,202393396.36815748,60867033275902.37,1.928520045721722e+19,110.49940964321218,132.85055176241912,152.61098572102784,172.97758914153303,196.40824575049493,222.73597037451705,265.65904948410827,316.91728029816005,427.91308093831816
4.39453125,1.0,968.3077665274635,222449534.0927049,85354728559303.69,3.557756381930421e+19,36.824033031791195,46.15599061855992,56.47959928266614,68.98515095364128,81.44607948946533,96.17260894253228,115.10811398226893,151.80455602155607,227.0187567909701
4.8828125,1.0,762.3763920682993,176466674.81229153,68764871521043.03,2.8473819694171075e+19,24.482244344494983,33.12543610304814,40.22315409789329,48.79741644637522,58.25693267039711,67.79611347781233,82.70440542338827,107.07762337153787,157.01444210505596
5.37109375,1.0,345.1833251697226,18244319.134057146,1831038845463.7766,2.112978672744544e+17,19.62901136291105,26.913617649123562,32.903849813231915,39.46218971881642,46.760607456718176,54.027670860074814,63.62463361940401,77.49499723972045,106.46947806037726
5.859375,1.0,157.27945237384986,2504648.4235937973,82121161892.12961,3113927525078111.5,16.097457269989807,21.165594342082436,25.002710686232867,29.217911145892845,33.6081379418009,39.13267183503173,45.68141614384014,56.573390003182105,74.89807441098344
6.34765625,1.0,161.8676982293848,4072968.696319045,194650684277.82706,1.0598881815347858e+16,10.116493268713588,14.00930001577819,16.842621466937207,20.36586477092068,23.879474178792925,27.661501863108036,32.93192914397399,42.671263662886915,58.40135238345786
6.8359375,1.0,128.62564364221433,3786828.35775788,196332216886.95468,1.1157476981246902e+16,6.7352648382607105,8.614705909416507,10.786886568239673,12.854970351701155,15.061207272388598,17.808941832964706,22.01100784406885,29.14946761939729,44.00486068254275
7.32421875,1.0,84.53218752953751,1596081.767057976,53507687669.98708,1962134815501176.2,5.261967658497526,6.673880782662036,7.972150639652341,9.384125308749443,11.03729553674571,13.009640504791355,16.196066112113204,21.305912687272695,31.138268481912416
7.8125,1.0,47.46126573204857,290873.8668860201,3111860049.317592,35493194830157.43,3.7080905567205886,4.598948222093283,5.572803224448411,6.783687669562334,7.989715463738166,9.557416800912693,11.899492555352094,15.512388362917482,23.009428536658525
8.30078125,1.0,31.122241335437916,106966.7830867848,886159815.9473363,8327545060562.008,2.717337361662683,3.4575342541981056,4.2218003301735445,5.121351237925889,6.050062795802688,7.303134881699952,9.16565218469976,11.827270752772645,18.150991082224024
8.7890625,1.0,31.327401462813214,142813.56139449443,1416567421.6278648,15635969132275.082,2.344624274521837,2.971600430438346,3.6548419615305394,4.428070939614728,5.069248899938976,6.104245599188959,7.706348636180743,9.886013001724205,14.743613587447754
9.27734375,1.0,30.291136993225155,142989.3419616826,1354368178.5786877,14331623500099.955,2.056489248298798,2.680005325881203,3.1856519952334157,3.77630387824617,4.376020838511947,5.327250468483606,6.606895728752449,8.42397418954088,12.337017451307904
9.765625,1.0,23.072938142775797,59655.851830092724,263980464.59965903,1255340902098.835,1.5663579231578,2.043765133162653,2.471292881085472,2.885396424006682,3.436584970085145,4.247620354596012,5.1966345495958866,6.705427205775086,10.214685640413197
10.25390625,1.0,17.21208165085534,33891.23381325802,137525310.32366967,628495584971.9225,1.263068977247678,1.6366037168574818,2.047636580387969,2.489718629535846,2.9912935000109644,3.5946207642633556,4.548402525687186,5.945609112588859,8.705091729605707
10.7421875,1.0,13.17961040448183,24271.871604629694,110583228.59621082,540156038483.6597,1.117038386382697,1.5188901007337254,1.818360110540424,2.190345256166352,2.570549776353538,3.1409979064842655,3.8812285163303994,5.1342507527440375,7.649989373287731
11.23046875,1.0,11.038336755007606,14995.979876996747,51179645.63228633,191139984076.7169,1.0366136454388615,1.346476045837434,1.6249421253901584,1.9201982383935745,2.319382305158523,2.727940155596016,3.4760422993208837,4.729192324582858,7.269069963716703
11.71875,1.0,8.687803470732074,6406.999729392447,12106323.640500337,26338435827.322437,0.9111396613126469,1.1667664752848455,1.402328079123918,1.6797045798781323,1.9582820049355374,2.3690361591525604,2.987241080687445,3.8587770922974585,5.682214264540195
12.20703125,1.0,7.813871725381467,3834.9034357055675,4152661.31732833,5023695704.362096,0.8195146194732877,1.0844853863620059,1.3099715161231287,1.5988313272509052,1.8909652460354607,2.277972468970703,2.743343759055137,3.4751617229243625,5.210961510335732
12.6953125,1.0,7.449773681977589,2325.582706398011,1971924.423621923,2109793324.216235,1.047954501151094,1.3419761888817952,1.602517401346522,1.8919230705938628,2.1989924420815257,2.549259864069131,3.0663360899100893,3.8865060544058694,5.896388712451601
13.18359375,1.0,6.329979134092402,816.7558020739276,296369.6648148716,120820247.68653774,1.1291547267565671,1.5520143013500522,1.9388006657407735,2.359326821863569,2.8554211721083567,3.4024497798561857,4.081330129408091,4.927174246432384,6.839314873692624
